city,company,jobs,description
"Philadelphia, PA",PBR Philly,Nightlife General Manager - PBR Philadelphia,"We in looking for an energetic, experienced and professional individual to a General Manager for this venue to manage the daily operations, motivate employees,..."
"Philadelphia, PA",,Community Marketing Specialist,"Are you stuck behind a desk or job hunting, wishing you could be a part of something new and exciting? Cruise, Resorts, Hotels, Tours, Flights & Car Rentals...."
"Lancaster, PA",,Social Service Coordinator,Previous experience in Hospital/Rehab/LTC Social Work and Discharge plannning needed. Responsible to provide medically related social work services so that each...
"Philadelphia, PA",,Clinical Support Associate- Oncology Clinic,The employee must provide their supervisor with proof of valid certification within 90 days of their start date....
"Bensalem, PA",,d Transit Police Officer,"Possess a high school diploma or GED, and a valid driver's license. SEPTA is recruiting for Transit Police Officers who will be responsible for ensuring the..."
"Lafayette Hill, PA",,Market Research Analyst,Past experience working in general health care or human services is preferred and knowledge of the managed care or commercial insurance field will be a huge...
"Bethlehem, PA",,Psych Tech/Direct Care RTF,"Adhere to all NHS Human Services, County, State, and Federal policies and regulations related to mental health treatment services...."
"Allentown, PA",,Psych Tech I,"Adhere to all NHS Human Services, County, State, and Federal policies and regulations related to mental health treatment services...."
"Bethlehem, PA",St. Luke's Hospital & Health Network,Rheumatology Opportunity 60 miles north of Philadelphia,We see great need with exceptional growth potential for this service line and are looking to develop a world class program....
"Ewing, NJ",Pizza Hut,Shift Leader,"And, you’re at least 18 years old with a valid driver’s license, reliable transportation (not public transportation – you may need to drive to make deposits for..."
"Vineland, NJ",Pizza Hut,Team Member,"It’s about being independent and having fun, making new friends and earning extra cash. And independently-owned franchised or licensed locations may have..."
"Philadelphia, PA",,Manager of Operations - MRI,"A bachelor’s degree in a healthcare related field required. Working for this leading academic medical center means collaboration with top clinical, technical..."
"Philadelphia, PA",,Manager of Operations - Radiology,"A bachelor’s degree in a healthcare related field required. Working for this leading academic medical center means collaboration with top clinical, technical..."
"Springfield, PA",,Executive Team Leader (Assistant Store Manager) Human Resour...,"Develop a strong training culture and makes sure company tools and programs are consistently implemented. Strong cognitive skills, including problem analysis,..."
"Springfield, PA",,Executive Team Leader (Assistant Store Manager) Logistics Ov...,As an Executive Team Leader - Overnight Logistics you'll take the lead as you… Manage the day-to-day operations of the logistics team (early morning/overnight...
"Hackettstown, NJ",,"Store Team Leader (Store Manager)- Hackettstown, NJ","Own and champion Target-brand presentation of the entire store Manage a team of 150-500 team members Work to attain maximum profits, sales, return on investment..."
"Cherry Hill, NJ",,Human Resource Team Member,"Develop a fast, fun and friendly team. Target merchandise discount. Quickly and accurately scan and bag all items and collect payment...."
"Springfield, PA",,Backroom Team Member,"Keep merchandise organized and accessible. Work as part of a fast, fun and friendly Backroom team. Maintain a clean, great-looking store. Quickly and..."
"Trenton, NJ",,Custodian /Mainteance worker,Required license or certification:. Valid Driver's License. Conducts basic maintenance such as minor electrical work and phone cabling....
"Plymouth Meeting, PA",,Field Systems Technician - Seasonal (9720526),"ESSENTIAL DUTIES AND RESPONSIBILITIES - Coordinate the setup, shutdown and support of PC hardware and software for H&R Block's field offices in compliance with..."
"Philadelphia, PA",,Preseason Tax Professional (9700525),"Experience is typically acquired through previous tax preparation, and successful completion of the H&R Block's Tax Knowledge Assessment, H&R Block's Income Tax..."
"Plymouth Meeting, PA",,District Operations Coordinator,"Client matching) Local coordination of a national contract for cleaning of offices, coffee, water or other office amenities...."
"Jenkintown, PA",,Seasonal Operations Support,Ability to drive a motor vehicle and possess a valid drivers license and adequate insurance as required by state law. Also must have a good driving record....
"Wilmington, DE",,Tax Professional - Entry Level,Must complete 18-hour continuing education requirement and meet all other IRS and applicable state requirements. Tax Professional - Entry Level....
"Jenkintown, PA",,Field Systems Technician - Seasonal,"ESSENTIAL DUTIES AND RESPONSIBILITIES • Coordinate the setup, shutdown and support of PC hardware and software for H&R Block's field offices in compliance with..."
"Philadelphia, PA",,Experienced Tax Advisor - Block Advisors,Bachelors degree in Accounting or related field. CPA or Enrolled Agent certification (Circular 230 designation)....
